    0.390563130378723145E+01    0.828791856765747070E+01   -0.635932683944702148E+00    0.391273021697998047E+01    0.694855332374572754E+01   -0.124820229267351614E+22   -0.570378062280500497E+01    1
    0.349463605880737305E+01    0.874506592750549316E+01    0.940619230270385742E+00    0.987763404846191406E+00    0.849902510643005371E+01   -0.367292679977056731E+21   -0.570711395613835482E+01    1
   -0.232343935966491699E+01   -0.145136475563049316E+01    0.119273710250854492E+01    0.392075014114379883E+01    0.941952586174011230E+01   -0.308935173647767437E+21   -0.571044728947168334E+01    1
   -0.583628630638122559E+01   -0.277214050292968750E+00    0.128494906425476074E+01    0.376627421379089355E+01    0.890061378479003906E+01   -0.691531324785392845E+20   -0.571378062280501098E+01    1
   -0.415442538261413574E+01   -0.716929316520690918E+01    0.968073844909667969E+00    0.387919068336486816E+01    0.931415200233459473E+01   -0.554464926897669325E+20   -0.571711395613834394E+01    1
   -0.779897379875183105E+01   -0.745189189910888672E+00    0.126069641113281250E+01    0.381889319419860840E+01    0.855341553688049316E+01   -0.360557791694955889E+20   -0.572044728947168135E+01    1
    0.352391934394836426E+01    0.757884621620178223E+01    0.131104516983032227E+01    0.299970865249633789E+00   -0.905830502510070801E+01   -0.294166500142183465E+20   -0.572378062280502586E+01    1
    0.295806193351745605E+01    0.832074642181396484E+01    0.212804555892944336E+00    0.313701844215393066E+01    0.782842636108398438E+01   -0.759413456282908365E+19   -0.572711395613835883E+01    1
    0.370206308364868164E+01    0.653662443161010742E+01    0.160327315330505371E+01    0.334493708610534668E+01    0.200691103935241699E+01   -0.713027776981824922E+19   -0.573044728947169002E+01    1
    0.213595199584960938E+01    0.979175925254821777E+01   -0.471124887466430664E+00    0.250327634811401367E+01    0.752218723297119141E+01   -0.314577276560270746E+19   -0.573378062280501766E+01    1
    0.332938838005065918E+01    0.703698873519897461E+01    0.163599276542663574E+01    0.270267105102539062E+01   -0.152622699737548828E+01   -0.291705851175414886E+19   -0.573711395613834529E+01    1
   -0.545562648773193359E+01    0.758260488510131836E+01    0.196880793571472168E+01    0.255822062492370605E+01    0.954833030700683594E+01   -0.209220112540878490E+19   -0.574044728947167915E+01    1
    0.322352766990661621E+01    0.661774516105651855E+01   -0.156642031669616699E+01    0.138830661773681641E+01   -0.721934676170349121E+01   -0.625650826864936192E+18   -0.574378062280501744E+01    1
   -0.668677115440368652E+01   -0.930713176727294922E+01    0.548763513565063477E+00    0.311592769622802734E+01    0.940367102622985840E+01   -0.395770789753341888E+18   -0.574711395613836196E+01    1
