    0.137280511856079102E+01    0.327571845054626465E+01    0.875249266624450684E+01   -0.417268511159077530E+19   -0.599146350544150419E+01    1
    0.188692212104797363E+01    0.292738866806030273E+01    0.807245850563049316E+01   -0.207703578092388454E+19   -0.599396350544151169E+01    1
    0.169609999656677246E+01    0.279286289215087891E+01    0.875697374343872070E+01   -0.136242783431950387E+19   -0.599646350544151474E+01    1
    0.104741716384887695E+01    0.346655797958374023E+01    0.845733642578125000E+01   -0.679458551274023552E+18   -0.599896350544151957E+01    1
    0.197821545600891113E+01    0.340083813667297363E+01    0.585904240608215332E+01   -0.572485677243307456E+18   -0.600146350544151552E+01    1
    0.185797452926635742E+01    0.234993577003479004E+01    0.911706924438476562E+01   -0.229830924001537856E+18   -0.600396350544151858E+01    1
    0.249324560165405273E+00    0.382747864723205566E+01    0.952057003974914551E+01   -0.119490148718322960E+18   -0.600646350544151630E+01    1
    0.109783005714416504E+01    0.332644081115722656E+01    0.782873034477233887E+01   -0.113351287762540224E+18   -0.600896350544152469E+01    1
    0.586843013763427734E+00    0.397191095352172852E+01    0.775552392005920410E+01   -0.421459175377468720E+17   -0.601146350544151886E+01    1
    0.746467351913452148E+00    0.376688265800476074E+01    0.757998704910278320E+01   -0.414268138152718960E+17   -0.601396350544150859E+01    1
    0.131109499931335449E+01    0.378505110740661621E+01    0.537655234336853027E+01   -0.180483544560993800E+17   -0.601646350544151520E+01    1
    0.104911565780639648E+01    0.376616716384887695E+01    0.608599781990051270E+01   -0.121241910704534700E+17   -0.601896350544151559E+01    1
    0.192763209342956543E+01    0.272208833694458008E+01    0.572181820869445801E+01   -0.246092456151329600E+16   -0.602146350544152753E+01    1
    0.303714990615844727E+00    0.356608772277832031E+01    0.783801078796386719E+01   -0.163720423338714425E+16   -0.602396350544153325E+01    1
    0.172121787071228027E+01    0.381695985794067383E+01    0.288915276527404785E+01   -0.153017394049398525E+16   -0.602646350544152298E+01    1
    0.498294830322265625E-02    0.305735540390014648E+01    0.921174407005310059E+01   -0.137008214718581300E+16   -0.602896350544150561E+01    1
    0.186651039123535156E+01    0.345305037498474121E+01    0.336224198341369629E+01   -0.122598511190443900E+16   -0.603146350544150955E+01    1
    0.116163849830627441E+01    0.381493234634399414E+01    0.406463861465454102E+01   -0.337964919360426438E+15   -0.603396350544152682E+01    1
    0.154627585411071777E+01    0.271413516998291016E+01    0.558922767639160156E+01   -0.244431497574187844E+15   -0.603646350544153165E+01    1
   -0.807664632797241211E+00    0.376947927474975586E+01    0.972835063934326172E+01   -0.118841806963292219E+15   -0.603896350544152227E+01    1
   -0.686595439910888672E-01    0.337261295318603516E+01    0.789004087448120117E+01   -0.972164166710521406E+14   -0.604146350544151556E+01    1
   -0.290511369705200195E+00    0.357304525375366211E+01    0.830563306808471680E+01   -0.954356680749510000E+14   -0.604396350544152039E+01    1
   -0.412726879119873047E+00    0.382711386680603027E+01    0.842221856117248535E+01   -0.859993601389431875E+14   -0.604646350544152966E+01    1
    0.411963701248168945E+00    0.249849081039428711E+01    0.787292242050170898E+01   -0.618532977190432969E+14   -0.604896350544152206E+01    1
    0.194248199462890625E+01    0.257676696777343750E+01    0.456432819366455078E+01   -0.571094177138456016E+14   -0.605146350544152156E+01    1
    0.144558238983154297E+01    0.236199593544006348E+01    0.592672586441040039E+01   -0.284844434566796914E+14   -0.605396350544152995E+01    1
   -0.402060747146606445E+00    0.359109020233154297E+01    0.807600140571594238E+01   -0.282518532517676953E+14   -0.605646350544151790E+01    1
   -0.490864992141723633E+00    0.177019286155700684E+01    0.994099617004394531E+01   -0.258869915617116875E+14   -0.605896350544151829E+01    1
    0.949960708618164062E+00    0.317393898963928223E+01    0.463697910308837891E+01   -0.140477928430684688E+14   -0.606146350544153112E+01    1
    0.143542766571044922E+01    0.279450058937072754E+01    0.432820320129394531E+01   -0.130142929435888789E+14   -0.606396350544153950E+01    1
   -0.107377171516418457E+01    0.276090478897094727E+01    0.964050173759460449E+01   -0.917331046966071875E+13   -0.606646350544153368E+01    1
   -0.649117708206176758E+00    0.161032319068908691E+01    0.968305826187133789E+01   -0.594848017970519922E+13   -0.606896350544153407E+01    1
    0.309692859649658203E+00    0.182179307937622070E+01    0.820670843124389648E+01   -0.586250346214271484E+13   -0.607146350544153712E+01    1
   -0.186881065368652344E+00    0.203094720840454102E+01    0.851850152015686035E+01   -0.523377335114048145E+13   -0.607396350544151886E+01    1
    0.134954452514648438E+01    0.170153927803039551E+01    0.707096338272094727E+01   -0.446604781743987012E+13   -0.607646350544150149E+01    1
   -0.408486604690551758E+00    0.365824437141418457E+01    0.716452598571777344E+01   -0.371517936589654297E+13   -0.607896350544150277E+01    1
    0.918519735336303711E+00    0.216819357872009277E+01    0.639621496200561523E+01   -0.338800160527799902E+13   -0.608146350544151737E+01    1
   -0.730294227600097656E+00    0.309436297416687012E+01    0.830521583557128906E+01   -0.330955882378096289E+13   -0.608396350544153197E+01    1
   -0.304589033126831055E+00    0.141590547561645508E+01    0.937159657478332520E+01   -0.325390464621311865E+13   -0.608646350544153236E+01    1
    0.751103401184082031E+00    0.199062991142272949E+01    0.692075133323669434E+01   -0.262418179379097314E+13   -0.608896350544152032E+01    1
    0.119302916526794434E+01    0.234578156471252441E+01    0.529367208480834961E+01   -0.208533698392933594E+13   -0.609146350544151804E+01    1
    0.147211289405822754E+01    0.173576235771179199E+01    0.634195566177368164E+01   -0.148187084094151074E+13   -0.609396350544151844E+01    1
   -0.117949819564819336E+01    0.267254424095153809E+01    0.893824696540832520E+01   -0.106423245815128955E+13   -0.609646350544151083E+01    1
    0.108042168617248535E+01    0.392476701736450195E+01    0.155298233032226562E+01   -0.972861305548893311E+12   -0.609896350544150234E+01    1
    0.188855814933776855E+01    0.326183891296386719E+01    0.602506399154663086E+00   -0.700013767394368164E+12   -0.610146350544149918E+01    1
   -0.106920146942138672E+01    0.201942706108093262E+01    0.883572220802307129E+01   -0.591644214467267212E+12   -0.610396350544150579E+01    1
