Nested Sampling Global Log-Evidence           :   -0.295600973695662049E+03  +/-    0.204716541493533799E+00
Nested Importance Sampling Global Log-Evidence:   -0.295835281203483362E+03  +/-    0.195636432176410809E-01

Dim No.       Mean        Sigma
   1   -0.156215585727977646E+01    0.985003717596137120E-02
   2    0.233109290252002666E+01    0.978785440509259870E-02
   3    0.235345014085535365E+01    0.143716552031556768E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.156278179235693093E+01
   2    0.233104923184718560E+01
   3    0.235444685806826826E+01

MAP Parameters
Dim No.        Parameter
   1   -0.156278179235693093E+01
   2    0.233104923184718560E+01
   3    0.235444685806826826E+01
