   -0.156662610956065107E+01    0.234187159994585592E+01    0.236680284891244241E+01   -0.286119350183353959E+03
   -0.155141032434075621E+01    0.233956783958483872E+01    0.234241849410522107E+01   -0.284674081620092409E+03
   -0.154299571665654423E+01    0.230966957985732257E+01    0.233468173107134014E+01   -0.284241609762952294E+03
   -0.156291407999311005E+01    0.236321779517268160E+01    0.234832844191374512E+01   -0.283999059318020898E+03
   -0.153560794636902087E+01    0.233415956665315161E+01    0.231607734555740308E+01   -0.283951174501196533E+03
   -0.159088243349585468E+01    0.232506218579339441E+01    0.239733248581888603E+01   -0.283866249382672152E+03
   -0.158650745130435400E+01    0.235844956740328904E+01    0.238944866455015870E+01   -0.283477667863344550E+03
   -0.158777433312969229E+01    0.233801490193065353E+01    0.239615446290720868E+01   -0.283473211124084514E+03
   -0.154851809596319567E+01    0.234931297427046282E+01    0.232573356054881941E+01   -0.283409357615668398E+03
   -0.157879522197590516E+01    0.236132657535956714E+01    0.236946930249503573E+01   -0.283267831311553550E+03
   -0.157412797356720580E+01    0.236122853906609897E+01    0.236234823042339670E+01   -0.283261446581150267E+03
   -0.157539842250155093E+01    0.235479158554243373E+01    0.236384620924152244E+01   -0.283116054586743530E+03
   -0.157293761578965308E+01    0.236439825283513105E+01    0.236450719941574050E+01   -0.283097225532905668E+03
   -0.156205085850610081E+01    0.235651593006532467E+01    0.235179493018903507E+01   -0.283019342691989664E+03
   -0.156027932825174753E+01    0.233439907469043417E+01    0.235700704938477834E+01   -0.282995604625897386E+03
   -0.158926597386713020E+01    0.233510100800326281E+01    0.239028659417879830E+01   -0.282898889534198645E+03
   -0.155054424030259108E+01    0.234482370923552308E+01    0.233754020919387173E+01   -0.282863127094439960E+03
   -0.154545009409864620E+01    0.232670141469080427E+01    0.232245630613624598E+01   -0.282861503722170596E+03
   -0.154771212166713856E+01    0.229971210019549765E+01    0.233881918951066581E+01   -0.282848623105983506E+03
   -0.153711608942241518E+01    0.233835574007935554E+01    0.231383756704943977E+01   -0.282779400772745987E+03
   -0.157675797263227024E+01    0.231659212823745220E+01    0.238207736462403119E+01   -0.282775397073309250E+03
   -0.155886903423744649E+01    0.234692608076159859E+01    0.233968916640705693E+01   -0.282687877538059297E+03
   -0.154448699737041117E+01    0.232221211382703752E+01    0.232226465617494426E+01   -0.282489684135743573E+03
   -0.153220104748680352E+01    0.232897675291546369E+01    0.230741824999020118E+01   -0.282481169920714876E+03
   -0.157899276540766609E+01    0.235858552039001967E+01    0.237740989840458639E+01   -0.282455265815806683E+03
   -0.155893189157694478E+01    0.234443647728311122E+01    0.234002636975042755E+01   -0.282436592426682751E+03
   -0.156324240500758638E+01    0.235888759155902417E+01    0.235080834367406055E+01   -0.282433084804486157E+03
   -0.154200053136833359E+01    0.230112330036786927E+01    0.232920919291731465E+01   -0.282422523375526907E+03
   -0.155735942543475891E+01    0.230811140896711242E+01    0.235496457279237070E+01   -0.282403086753571529E+03
   -0.158025719797123831E+01    0.234753770267289852E+01    0.237259643173047508E+01   -0.282383968564142606E+03
   -0.154795800635128744E+01    0.233202609324043264E+01    0.233734601683953613E+01   -0.282358222423643383E+03
   -0.154002962769864027E+01    0.231326682902482528E+01    0.232783800873217217E+01   -0.282270366112233205E+03
   -0.157760484207176166E+01    0.231839637691233946E+01    0.238265104127804506E+01   -0.282247026619559733E+03
   -0.158670746483383640E+01    0.235285243054821214E+01    0.238337276395338371E+01   -0.282238183331572714E+03
   -0.159221162050400622E+01    0.233967368250517671E+01    0.239897808866222206E+01   -0.282238087663103897E+03
   -0.157523845429378162E+01    0.233047833242410096E+01    0.236753618309293401E+01   -0.282187927381834015E+03
   -0.157037317543346133E+01    0.230905794573748135E+01    0.237100345251534073E+01   -0.282164880180281443E+03
   -0.153839840172466369E+01    0.231435401590038925E+01    0.232481820668693828E+01   -0.282145577584184650E+03
   -0.157501735331058645E+01    0.236134297672254734E+01    0.236588695428827478E+01   -0.282097057109312573E+03
   -0.155384573828477790E+01    0.231242462978532481E+01    0.234960883423143585E+01   -0.282033090700747152E+03
   -0.157943819877133929E+01    0.235737054933495749E+01    0.237175599695500061E+01   -0.281906948580692642E+03
   -0.156837762646803158E+01    0.234988935685864364E+01    0.235423762379486767E+01   -0.281885125764732663E+03
   -0.155377618654678740E+01    0.234104409055795326E+01    0.233335147519444952E+01   -0.281876490026034048E+03
   -0.154068047512498207E+01    0.233400228187257142E+01    0.231651631761744170E+01   -0.281865335820365715E+03
   -0.157280921562914200E+01    0.234925174758783450E+01    0.237127701721933093E+01   -0.281858915946246498E+03
   -0.157385392303991312E+01    0.232984662888098359E+01    0.236568859746585858E+01   -0.281842944915441365E+03
   -0.153825332040579021E+01    0.231883414565944657E+01    0.232353403220527355E+01   -0.281825633695967440E+03
   -0.157157132723950421E+01    0.231283627314046925E+01    0.237369596738536615E+01   -0.281781946592603617E+03
   -0.155247323403463566E+01    0.234568127454435027E+01    0.233936495780052311E+01   -0.281780172260354959E+03
   -0.158671337655229117E+01    0.233623523770218267E+01    0.238653926248281323E+01   -0.281774369733677645E+03
   -0.155388900917485984E+01    0.235069570998774235E+01    0.233857897373819945E+01   -0.281760563769507542E+03
   -0.157995956705925167E+01    0.234377426320962812E+01    0.237312071286240034E+01   -0.281746121991113910E+03
   -0.155480115706198530E+01    0.230562259270517211E+01    0.234462052010600708E+01   -0.281744297211234311E+03
   -0.154493125204250914E+01    0.230908390667247021E+01    0.233545883503500029E+01   -0.281742667045738472E+03
   -0.157512458897089314E+01    0.235293041907402189E+01    0.237328605960096262E+01   -0.281729567975631198E+03
   -0.157766047847360680E+01    0.231865607831511333E+01    0.238194260959126147E+01   -0.281728005984212587E+03
   -0.154990217563990207E+01    0.233552698519860913E+01    0.233898310877294335E+01   -0.281696224681935973E+03
   -0.157538831168617333E+01    0.231568798284934374E+01    0.237854647603328750E+01   -0.281675250354865511E+03
   -0.156036731569123344E+01    0.233172147320042500E+01    0.235682965067829286E+01   -0.281667448774833019E+03
   -0.153689644381443724E+01    0.233231725534404477E+01    0.231310795691514848E+01   -0.281663149419068191E+03
   -0.155083806641572042E+01    0.234291992166284047E+01    0.232968094996151187E+01   -0.281660634027851529E+03
   -0.154413510266200404E+01    0.230322897415971939E+01    0.233151875568635703E+01   -0.281656912835345338E+03
   -0.157039043853079030E+01    0.234105758598223845E+01    0.235813690166322587E+01   -0.281627010520463557E+03
   -0.157511518486516011E+01    0.231968133726758952E+01    0.237902542858640054E+01   -0.281626248824161451E+03
   -0.158817948620440430E+01    0.233318680093933484E+01    0.239416647529180437E+01   -0.281603612461657519E+03
   -0.156053516296811545E+01    0.230548662539546001E+01    0.235568405807087977E+01   -0.281590959712105018E+03
   -0.157716629181268653E+01    0.235858145592621282E+01    0.237323294176890442E+01   -0.281583798184986449E+03
   -0.157349632964090058E+01    0.234589345138437988E+01    0.237311271094018572E+01   -0.281563829272721705E+03
   -0.153301248950468549E+01    0.231186860205362477E+01    0.231245327971270065E+01   -0.281562464013054750E+03
   -0.155906956948486974E+01    0.235346982261908533E+01    0.234604349190097849E+01   -0.281561211671734782E+03
   -0.157843065264333671E+01    0.234084425705463595E+01    0.237119844422333514E+01   -0.281538838673300631E+03
   -0.155587741009788116E+01    0.230730704842114154E+01    0.235161530317387779E+01   -0.281537863630679055E+03
   -0.157106320623327678E+01    0.235930672990577106E+01    0.236086442243157180E+01   -0.281531296522461275E+03
   -0.158423578340208282E+01    0.235157048374723665E+01    0.238003283807664268E+01   -0.281516072736620686E+03
   -0.156888711881348142E+01    0.235854528941094888E+01    0.235925408261906178E+01   -0.281501605683374748E+03
   -0.154829622995636784E+01    0.234289300413960166E+01    0.232682719812616945E+01   -0.281480394927072098E+03
   -0.155707977936464226E+01    0.232104013714067126E+01    0.234178783744204644E+01   -0.281459738874846380E+03
   -0.156318168614197472E+01    0.235335710650711061E+01    0.235354061271803694E+01   -0.281452135675861541E+03
   -0.154107526635247916E+01    0.233555695687008891E+01    0.232256847461794536E+01   -0.281422507865938940E+03
   -0.153846356422325181E+01    0.233355284723282441E+01    0.231521522522364798E+01   -0.281417005547611780E+03
   -0.154459761680461893E+01    0.230695719353861195E+01    0.233416181648307308E+01   -0.281381758178113387E+03
   -0.157539653704665805E+01    0.232460414763517331E+01    0.237031999812463035E+01   -0.281379915413074855E+03
   -0.154644133475077838E+01    0.234023204693819498E+01    0.233052083306072788E+01   -0.281368905070689152E+03
   -0.158645545012999767E+01    0.233811619239210255E+01    0.239207692353314272E+01   -0.281356608663829434E+03
   -0.155584873235951893E+01    0.230590024624831180E+01    0.235058186702229044E+01   -0.281308436727052936E+03
   -0.158537600273522239E+01    0.233072096920877625E+01    0.238669731430994680E+01   -0.281306735656768069E+03
   -0.153331863414240210E+01    0.231723768910610906E+01    0.231118846879072848E+01   -0.281291525128255444E+03
   -0.156830702360409902E+01    0.231559308055971247E+01    0.236198541733099354E+01   -0.281279791634664548E+03
   -0.154534653567876590E+01    0.231309827227857223E+01    0.232719078661838807E+01   -0.281273080467167517E+03
   -0.157056096862236272E+01    0.234535898944172905E+01    0.235829600681749341E+01   -0.281257774831301617E+03
   -0.156050535182697891E+01    0.230963267088029367E+01    0.235208176365756572E+01   -0.281248318402455425E+03
   -0.156448571845080786E+01    0.235575384164187307E+01    0.235088951104388855E+01   -0.281228062370106954E+03
   -0.157432975685769216E+01    0.232829754722020388E+01    0.236745810283911062E+01   -0.281218626169382048E+03
   -0.158881650136968378E+01    0.234863769580118698E+01    0.239205627304275126E+01   -0.281204422168389897E+03
   -0.153521368513082246E+01    0.232713009668415216E+01    0.231278114489708919E+01   -0.281195286874751901E+03
   -0.154288940465788738E+01    0.231377850480290581E+01    0.233139587755189126E+01   -0.281187536119926335E+03
   -0.158944958636414868E+01    0.234816334060847964E+01    0.239153950336675791E+01   -0.281175390507586940E+03
   -0.156288131998075608E+01    0.230772104599376560E+01    0.235953383804961270E+01   -0.281174279676637752E+03
   -0.154536936764477573E+01    0.234126663729229145E+01    0.232698965554109094E+01   -0.281113296977155926E+03
   -0.157698874654403598E+01    0.234821994434085290E+01    0.236845586961485211E+01   -0.281105354702529780E+03
   -0.158628861607364513E+01    0.233619261419286728E+01    0.239156529217285296E+01   -0.281089663083346977E+03
   -0.153494669358710656E+01    0.231916055529122511E+01    0.231602365797095366E+01   -0.281083629774561359E+03
   -0.156362709043353476E+01    0.233907731599083935E+01    0.235961689425748844E+01   -0.281063310840525730E+03
   -0.157354962932147013E+01    0.233642679480165993E+01    0.236438374690090036E+01   -0.281049381374175198E+03
   -0.156155804517163577E+01    0.232178222104801169E+01    0.234883408676423500E+01   -0.281045219417354247E+03
   -0.157036928751043892E+01    0.235545978162338931E+01    0.235887800986845875E+01   -0.281031508621955368E+03
   -0.155148004665646955E+01    0.231213210732478380E+01    0.234499165628465889E+01   -0.281023293402847969E+03
   -0.153927460250604553E+01    0.230802186461159975E+01    0.232401122239230773E+01   -0.281015365316068255E+03
   -0.156805998834686799E+01    0.234440954524341949E+01    0.236483944695844173E+01   -0.281002446731177372E+03
   -0.158651246385680444E+01    0.235177207085413720E+01    0.238800170421645852E+01   -0.280996821870223926E+03
   -0.158538485638480209E+01    0.232969286916267349E+01    0.238890704638503948E+01   -0.280978837368444033E+03
   -0.154890908004515460E+01    0.233920416459142810E+01    0.233509153421300653E+01   -0.280976842898429709E+03
   -0.156924162610790008E+01    0.233901234706508676E+01    0.235717557519641119E+01   -0.280947854865446288E+03
   -0.158839776095586060E+01    0.234590320952681486E+01    0.238956892440612023E+01   -0.280946231398820714E+03
   -0.155156780372229752E+01    0.234716527902135796E+01    0.233447869570247235E+01   -0.280940691539513125E+03
   -0.156624434175941984E+01    0.235331085594885314E+01    0.235798303462800973E+01   -0.280929847478432407E+03
