Nested Sampling Global Log-Evidence           :   -0.549841924634162751E+03  +/-    0.509599556788037034E+00
Nested Importance Sampling Global Log-Evidence:   -0.550581391029371275E+03  +/-    0.336310822339061163E-01

Dim No.       Mean        Sigma
   1   -0.512414221446842455E+00    0.159298056039216228E-01
   2    0.262612067625686540E+01    0.138089323716995421E-01
   3   -0.126376558444462206E+01    0.639549591536656050E-02
   4    0.115071854340017822E+03    0.559865578489248450E+00
   5    0.521965802975038429E+02    0.589420598866368883E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.516438986722574711E+00
   2    0.262934683762656141E+01
   3   -0.126496571257487567E+01
   4    0.115136654277874058E+03
   5    0.520666488916470485E+02

MAP Parameters
Dim No.        Parameter
   1   -0.516438986722574711E+00
   2    0.262934683762656141E+01
   3   -0.126496571257487567E+01
   4    0.115136654277874058E+03
   5    0.520666488916470485E+02
